Hospital,COUNT
"and Mcdonald Sons",1
"Smith, Elliott and Blackburn",1
"PLC Oliver",1
"Griffin and Lyons Rivers,",1
Craig-Garcia,1
Baker-Jones,1
Duffy-Kelly,1
Rodriguez-Becker,1
"Group Brown",1
Powers-Vincent,1
"and Ramos Brown Edwards,",1
"Johnson Group",2
"Atkins Inc",1
"Marshall LLC",1
"Ltd Cruz",1
Harrison-Parker,1
Lee-Clayton,1
"Mcdaniel and Sons",1
"Inc Lynch",1
"and Mendoza Rich Morales,",1
Proctor-Jones,1
"and Ramirez Figueroa May,",1
Michael-Jenkins,1
"Hardy Inc",1
"Turner, and Williams Mercado",1
"PLC Williams",1
Merritt-Gray,1
"Huang Travis Thomas, and",1
"Miller PLC",1
"May, Mullins and Martin",1
Moore-Robbins,1
"Ltd Howard",1
"Group Crosby",1
"Cook Ltd",1
"Rivas, Mcconnell Hill and",1
Conner-Flores,1
Suarez-Nelson,1
"and Walker Glenn, Long",1
"PLC Anderson",1
Blackwell-Gamble,1
"Wagner PLC",1
Goodman-Kelly,1
"and Boyd Powell, Sims",1
"and Conrad Boyd, Burnett",1
Ayala-Armstrong,1
"and Lambert White, Vargas",1
"Group Doyle",1
Henderson-Johnson,1
"Baker Conrad and Andrews,",1
"Perkins, Salazar and Johnson",1
Johnson-Perez,1
Powell-Werner,1
"Morales Group",1
"and Fernandez, Wilson Morrison",1
"Mayo and Sons",1
"Huffman Hall Orozco, and",1
White-Buchanan,1
"and Dixon Taylor Hunter,",1
"Anderson and Medina, Sullivan",1
"PLC Dixon",1
Bowman-Keith,1
"Tyler PLC",1
Velazquez-Patton,1
"Bass Inc",1
"Newton, Smith Ruiz and",1
Graham-Fisher,1
"Scott Ltd",1
Rosales-Sweeney,1
"Larson Andrews, and Lynch",1
"PLC York",1
Kelly-Watson,1
"Smith Gonzalez Robinson, and",1
Cook-Taylor,1
Robinson-Reyes,1
"Reid Inc",1
"Kemp and Taylor, Jones",1
Richards-Mack,1
"and Smith Harmon, Marshall",1
"Velasquez and Walker Russo,",1
"Harrington, and Owens Preston",1
"Downs PLC",1
"Zhang Long Eaton, and",1
"PLC Mills",1
"Hoffman Cox Mcdonald, and",1
"Carpenter and Sons",1
"Collins and Moore Chan,",1
"and Wood Lewis, Monroe",1
"and Keller, Ortega Miller",1
"Austin, and Reynolds Duran",1
"Lopez LLC",1
Clark-Tran,1
"Villanueva and Carter Hughes,",1
"Ltd Osborn",1
"LLC Hodge",1
"Lopez and Shepard Smith,",1
"Moss and Meadows Jones,",1
Young-Williams,1
"Bailey Morgan Frey, and",1
"Neal Price and Smith,",1
"and Johnson Hobbs Owens,",1
"Melton Inc",1
"and Weber Sons",1
"Chung Rodriguez Bradley, and",1
"White Wilson and Farmer,",1
"Group Thompson",3
"and Sons Rangel",1
"Travis, and Richardson Hampton",1
"and Wilson Matthews, Faulkner",1
"Group Bailey",1
Rosales-Johnson,1
Bush-Brown,1
Saunders-Smith,1
"and Mckay, Morrow Myers",1
Sherman-Martinez,1
"Baker, Weber Patton and",1
"and Fitzgerald Shaw, Edwards",1
Kim-Higgins,1
"Morgan, Kramer Munoz and",1
"Harvey Group",1
Mercer-Rogers,1
"Duran Sons and",1
"Vaughan Parker and Wagner,",1
Lee-Jacobson,1
"Hayes Robbins and Gallagher,",1
"Evans and Byrd, Smith",1
"and Howell Sons",1
"Clements and Scott, Peters",1
Gomez-Olson,1
"and Medina Morgan, Whitehead",1
"Miller LLC",1
Jones-Aguirre,1
"PLC Gonzalez",1
"and Davies Sons",1
Soto-Richmond,1
"and Morrison Ho Woods,",1
"Lewis and Sons",1
Wood-Sandoval,1
"Ball LLC",1
"Scott LLC",1
"and Wright, Long Schroeder",1
"Ltd Crawford",1
"Group Moore",1
Burch-Marks,1
Koch-Alvarado,1
"Garcia Edwards and Daniel,",1
Carter-Camacho,1
"Malone LLC",1
"Zamora PLC",1
"Ltd Hernandez",1
"Gomez Ray, and Jones",1
"Davis, Ray and Thompson",1
Mckinney-Edwards,1
Parker-Shannon,1
"Lawrence LLC",1
"and Thompson Burke, Harrington",1
"Johnson Goodman Clark, and",1
"Doyle Hess, and Dudley",1
"Bass PLC",1
"Willis and Hunt Pope,",1
"Gray, Hensley and Hanson",1
Moore-Woods,1
Moore-Franco,1
"Hamilton and Sons",1
"Burke Group",1
"Anderson LLC",1
Sims-Jimenez,1
"Holloway PLC",1
Cain-Stone,1
"Garner Group",1
"Ltd Logan",1
"Bishop PLC",1
Lewis-Mitchell,1
"and Campbell Sons",1
"James PLC",1
Colon-Meyer,1
"and Woods Liu, Berry",1
"LLC Clayton",1
Le-Hawkins,1
"Martinez Taylor Lopez, and",1
"Williams Group",1
Schmidt-Douglas,1
"Ltd Fleming",1
"Smith Brown Wallace, and",1
"Boyer Inc",1
Miranda-Collins,1
"Hoffman and Sons",1
"Group Ortega",1
"Mitchell, Vasquez and Chaney",1
Villa-Simpson,1
"LLC Haynes",1
"Inc Cummings",1
Downs-Stephens,1
"Carson and Nielsen, Buchanan",1
Hicks-Perez,1
"Wilson and Brown, Ortiz",1
Berg-Mcconnell,1
"Gilbert Ltd",1
Gutierrez-Webster,1
Cooley-Reid,1
"and Davenport Davis Hobbs,",1
Thompson-Becker,1
"Mitchell Inc",1
"Mack, Wilson and Fowler",1
"Johnson Garcia, and Anthony",1
"and Young Powell Mitchell,",1
"Bishop Inc",1
Coleman-Dawson,1
Cunningham-King,1
"Anderson PLC",1
"Freeman King Hodges, and",1
"Sons Wilson and",1
"Woodward Ltd",1
"Powell Branch Osborn, and",1
"Brown Brown, and Sanders",1
Harris-Oconnor,1
"Paul Richardson Haynes, and",1
Patterson-Lee,1
"and Yang Fox Scott,",1
"Burch, and Sexton Sandoval",1
"Johnson and Delgado, Bennett",1
"Garza Group",1
"Olson, Andrade and Dixon",1
"Fisher Inc",1
Farrell-Lyons,1
"Greer Cain and Taylor,",1
"Turner Ltd",1
"Sherman Inc",1
"and Garcia Wade Richardson,",1
White-Graham,1
"and Miller Sons",1
"Taylor, and Mullins Lara",1
"and King, Vega Jones",1
Alvarez-Cruz,1
"Walker Cisneros and Adams,",1
"Ltd Lewis",1
Esparza-Martinez,1
"Baker Hernandez and Scott,",1
"Group Lopez",1
"and Le Martin Young,",1
"PLC Cook",1
"Baker, Davis Hill and",1
Johnson-Gray,1
"Mitchell, and Garcia Saunders",1
Dennis-Roth,1
"Mcgee Patton Aguirre, and",1
Foster-Thomas,1
"Group Mann",1
Martinez-Strickland,1
"Shaw Tapia and Barnes,",1
Morris-Campbell,1
"Anderson Morton and Vang,",1
"Olson LLC",1
"Juarez and Sons",1
"Ramos Hansen Clark, and",1
"PLC Aguirre",1
"Nelson Baldwin, Boyd and",1
"Martinez, and Moore White",1
"Barker, Costa Hahn and",1
"Anderson and Higgins Galvan,",1
Flores-Roman,1
"Miller, Moon Boyd and",1
"Inc Harmon",1
"Elliott Jones Hinton, and",1
"Sons Mckinney and",1
Carroll-Howard,1
"and Park, Garcia Lam",1
Hill-Hernandez,1
"Skinner LLC",1
"Inc Cox",1
"Perez Sons and",1
"Parker Turner, Houston and",1
Wilson-Chen,1
Boone-Duffy,1
Reid-Simmons,1
Dunn-Bentley,1
"Inc Cherry",1
Zavala-Fernandez,1
Jones-Fleming,1
Christian-Hall,1
"LLC Cabrera",1
"Hernandez and Delacruz, Kramer",1
Cervantes-Herrera,1
Garrison-Mcfarland,1
Warren-Brown,1
"Ruiz Group",1
Anderson-Brown,1
"Hull Sons and",1
"Oliver Mcdonald, and Johnson",1
Lara-Allen,1
"Group Summers",1
"Phillips Medina, Rivera and",1
"LLC Flores",1
"Inc Pace",1
Garcia-Robinson,1
Snow-Day,1
"Inc Rangel",1
Irwin-Kaufman,1
"Brown and Colon, Anderson",1
"and Peterson, Rodriguez Murphy",1
"and Frederick, Jones Garcia",1
"and Fuentes Rogers Gill,",1
"Group Schneider",2
Sandoval-Bennett,1
"Young Ltd",1
Lopez-Brooks,1
"Leblanc Conway, Holt and",1
"Ltd Roberts",1
"and Carter Sons",1
"Moore and Rhodes Lang,",1
"Poole LLC",1
Hansen-Torres,1
Park-Douglas,1
"Ruiz, Scott Mitchell and",1
"and Rodriguez Gallegos Henry,",1
"Ltd Miller",1
"Turner Bradford and Allison,",1
"Goodwin Ltd",1
Carrillo-Price,1
"and Sons Lee",1
Rogers-Robles,1
"Massey Inc",1
Arias-Galvan,1
Scott-Moore,1
Jarvis-Roberts,1
"Clay LLC",1
"Quinn, Bentley and Allen",1
"Williams PLC",1
Meyers-Moore,1
Blair-Bell,1
Lester-Fletcher,1
"Rodriguez LLC",1
"LLC Baldwin",1
"Riley PLC",1
Snyder-Perry,1
Perez-Carlson,1
"Richardson Mccormick, Cruz and",1
Underwood-Mcguire,1
"Galvan, Lopez Salazar and",1
Fisher-Perez,1
"Maldonado Anderson and Adkins,",1
"Ruiz PLC",1
"Ltd Watts",1
"and Martinez Sons",2
Harrington-Marshall,1
"Robbins Inc",1
"and Conway George, Huff",1
Rodriguez-Arnold,1
"and Sullivan, Mcclure Shields",1
"Charles LLC",1
Morgan-Young,1
"Garcia and Nguyen, Leonard",1
"PLC Fox",1
"Bell Preston Washington, and",1
"LLC Hernandez",3
"Steele PLC",1
"and Sims, Gonzalez Huff",1
Allen-Perez,1
"and Alexander Crawford Graham,",1
Taylor-Wilson,1
"PLC Sutton",1
"and Sons Sanders",1
"Gentry and Sons",1
Haynes-Silva,1
"Marshall, and Koch Harper",1
Duffy-Jackson,1
Brown-Diaz,1
Mcdaniel-Castaneda,1
"Lyons LLC",1
"PLC French",1
"LLC Coleman",1
Tucker-Warren,1
Wang-Hill,1
"White West Herman, and",1
"Inc Newton",1
Huerta-Sanchez,1
Snyder-Parrish,1
"Inc Bryant",1
"Williams Inc",1
"Smith White, and Ryan",1
"Williams Dillon White, and",1
Vargas-Cohen,1
"Gardner Group",1
Garcia-Blake,1
Castaneda-Tran,1
Kim-Ibarra,1
Boyer-Burgess,1
"Cross Ltd",1
"Patel Payne, and Young",1
"Group Santana",1
"Sons and Cook",1
Martin-Rice,1
"Ortiz, and Rios Price",1
Barnes-Williams,1
Hardy-Gutierrez,1
"Cole LLC",1
White-Rowe,1
"Rodriguez Harris, Willis and",1
"Santana Garcia, Alexander and",1
Collins-Lozano,1
Brown-Clark,1
"Mcmahon and Kim, Holmes",1
Gomez-Smith,1
"Hall Lee Bailey, and",1
"Brennan Bentley, and Hunter",1
"Mullins, Gray and Reed",1
"Walsh, Howell and Jennings",1
Haney-Marshall,1
"Rich and Roach, King",1
"Johnson, and Petty Rubio",1
"Morse, Hudson Williams and",1
"Kane, and Dickson Schwartz",1
"Inc Mccullough",1
Taylor-Wong,1
Avery-Roy,1
"LLC Anderson",1
Castaneda-Young,1
"and Thomas Strong, Cook",1
Wells-Price,1
"Rios Ltd",1
Vincent-Hill,1
"Brooks LLC",1
"Group Carpenter",1
Mcdaniel-Walsh,1
Ross-Jones,1
"Mathews, Smith and Moss",1
"and Lawrence, Williams Thomas",1
"Wilkerson Group",1
Villanueva-Garcia,1
Duffy-Bowman,1
Tyler-Velasquez,1
"James Inc",1
Montgomery-Jones,1
Montgomery-Anthony,1
Davis-Padilla,1
Ellison-Hayden,1
Long-Lee,1
"Graves LLC",1
"and Sons Dixon",1
"Clark, Garza Tate and",1
"Bates Inc",1
"LLC Sanford",1
"and Harper Sons",1
"Young Mcclain, Newman and",1
"Ray, Cain and Miller",1
Zamora-Rivers,1
"and Perez Smith, Kim",1
Johnson-Wilson,1
Delacruz-Chavez,1
"and Gonzalez, Warren Moore",1
Ramirez-Humphrey,1
"and Sons Ford",1
"and Wells, Thomas Kline",1
Wood-Herring,1
"Wilkerson LLC",1
Brown-Henry,1
Sheppard-Livingston,1
"Golden PLC",1
"and Perez, Bennett Townsend",1
"Johnson, and Benson Harris",1
Anderson-Estrada,1
"and Sons Carlson",1
"Gonzalez Inc",1
Schaefer-Hoffman,1
"and Vargas Reynolds Evans,",1
"Cantu and Tanner Rojas,",1
"Thornton, Adams Mccarty and",1
Cantrell-Griffith,1
"Martin Group",1
"and Sons Nelson",1
Ramirez-Hill,1
Jackson-Butler,1
Miller-Avila,1
Reyes-Crawford,1
Marshall-Smith,1
"Nelson PLC",1
Perez-Mitchell,1
"Gross, Thompson Smith and",1
"Burch, Moore and Thompson",1
"Hamilton Group",1
"Shaw LLC",1
"and Day, Lewis Coleman",1
Stone-Perez,1
"Ltd Foley",1
Ward-Mayer,1
"Group Anderson",1
"Garcia, and Marshall Maxwell",1
"Inc Martinez",1
"Mcmahon Ortiz, Owens and",1
Williams-Saunders,1
"Spencer Ltd",1
Mathis-Schwartz,1
Romero-Ramsey,1
"Avery and Sons",1
"Ltd Richardson",1
"and Sons Williams",1
Carter-Reyes,1
"LLC Gray",1
"Miller Massey Lopez, and",1
"Taylor Walsh Hawkins, and",1
"LLC Brown",1
Nelson-Wong,1
"LLC Berry",1
Anderson-Jenkins,1
"Wells and Sons",1
"Allen, Williams and Phillips",1
Gonzalez-Cummings,1
"and Richardson Webster Smith,",1
Hudson-Flores,1
"Inc Rios",1
"PLC Thompson",1
"Rosario Wells, Roberts and",1
Ramirez-Taylor,1
Murphy-Mason,1
"Edwards Johnson, and Burgess",1
"LLC Spears",1
Perez-Smith,2
"and Sons Mcbride",1
"Sons and Chapman",1
Cole-Davila,1
"Pearson, and Lynch Oconnor",1
Rivera-Peck,1
Hess-White,1
"Fox and Moreno Williams,",1
Johnson-Estrada,1
Rivera-Mosley,1
"Diaz Smith Johnson, and",1
Harris-Ingram,1
"and Esparza Sons",1
"Hunt Sons and",1
"Foster Lamb, Graham and",1
"Sanchez LLC",1
Fox-Anthony,1
"Fuentes Knight, Sandoval and",1
Hudson-Williams,1
"Lowery, Dunn Anderson and",1
Mullen-Hernandez,1
"Herman, Liu and Hill",1
"Davis White, Flores and",1
Williams-Jones,1
"Inc Holloway",1
"Phillips Jones and Wu,",1
"Wilson and Lopez, Molina",1
Jones-Garrett,1
"and Brown, James Green",1
"Meadows and Nelson, Owen",1
"Sons and Gallegos",1
"Davis Group",1
"Herrera Group",1
Juarez-Weiss,1
Dawson-Jones,1
"Hickman Group",1
Herman-Ewing,1
"Gutierrez Inc",1
Hurley-Gill,1
"Dillon PLC",1
"Murphy, and Garcia Jones",1
Ramsey-Thomas,1
"Miller and Sons",1
"Chung Herrera, and Pollard",1
"and Hernandez Waters, Cruz",1
"Schmidt Sons and",1
"and Carroll Orr Kelly,",1
"Smith and Rose Rivera,",1
Odonnell-Watts,1
"Inc Roberts",1
"LLC Chaney",1
"Hutchinson, Wilson Daniel and",1
Davis-Martin,1
"and Thompson Cook Wiggins,",1
"Baldwin PLC",1
Heath-Brown,1
"Mendez, and Smith Munoz",1
"Inc Daugherty",1
"Gonzalez LLC",1
Hunter-Hughes,1
"and Woods, Rodriguez Williams",1
Lowery-Howard,1
Colon-Leon,1
Boyle-Woods,1
"and Graham Morris, Gonzales",1
Tucker-Moyer,1
"Sons and Stephenson",1
"Hernandez PLC",1
"Dougherty Group",1
"Morgan Zimmerman, Matthews and",1
Jimenez-Huff,1
Stevenson-Chen,1
Parker-White,1
"Vang Schneider and Torres,",1
Booth-Williams,1
Gray-Black,1
Johnson-Garcia,1
"Phelps Group",1
"Harrison and Erickson, Barnett",1
"Fischer Ltd",1
Rhodes-Kelly,1
"Tate Pierce and Jackson,",1
"Inc Daniel",1
"and Roberson Lee Young,",1
Giles-Miller,1
"Martinez, and Snyder Hill",1
Barber-Page,1
"and Hess Delgado Foster,",1
Johnson-Holland,1
"and Gonzales Dunn, Camacho",1
"Rodriguez Diaz Daugherty, and",1
Rowland-Abbott,1
"Murphy, Reid Knox and",1
Ryan-Mcneil,1
"Ramos Miller and Moore,",1
"Sons Cherry and",1
"Cook LLC",1
"Phillips Ltd",1
"Oliver Griffin Johnson, and",1
"Gregory Group",1
"and Camacho Thomas Malone,",1
"LLC Smith",1
"Cunningham Andrade and Butler,",1
Curtis-Lin,1
"Ltd Smith",1
"Inc Sanchez",1
"Rice, Cooper Rivera and",1
"Garcia LLC",1
"Bell Ltd",1
"Hogan, Young Holmes and",1
Vazquez-Sanchez,1
"Mcintyre Ltd",1
"White Roberts and Lee,",1
"Simpson Espinoza, and Thompson",1
"and Moore Sons",1
"and Mclaughlin Powers Stevens,",1
"and Anderson, Porter Becker",1
Bailey-Hunt,1
"King and Bryant Olsen,",1
"Watson Johnson Joseph, and",1
"Group Evans",1
"Collins Porter and Rodgers,",1
"and Goodwin, Hernandez Andrade",1
"Solomon PLC",1
"Flores Sons and",1
"Lowe LLC",1
"Lopez Keller, Williams and",1
Brown-Wood,1
Martinez-Davis,1
Alexander-Oconnor,1
Carlson-Stone,1
"George Ward, and Clark",1
Nicholson-Johnson,1
"PLC Carr",1
Alexander-Middleton,1
Horton-Martinez,1
"PLC Obrien",1
Ramos-Holt,1
"Jensen and Jackson, Greene",1
Mathews-Lawrence,1
"Morales, Johnson and Carlson",1
"Wilson, Ward Taylor and",1
Torres-Johnson,1
"Inc Mcbride",1
"and Dunlap, Wright Mays",1
Sullivan-Crosby,1
"and Shaw, Davis Pollard",1
"Williams LLC",1
"Franklin Ltd",1
Galloway-Barnett,1
"Miller Olson, and Collins",1
"Wheeler and Miller Burch,",1
Mercer-Booker,1
"and Burke Skinner Myers,",1
"and Parker, Stout Chase",1
"Fernandez Harris, and Wilson",1
Young-Myers,1
"Johnson PLC",1
"Barber Waters Castillo, and",1
Jarvis-Craig,1
Schneider-Patton,1
"Kane Porter and Robinson,",1
"Archer Inc",1
Castaneda-Powell,1
"King, Williams and Terry",1
"Henry PLC",1
"and Carpenter, Hernandez Chang",1
Santiago-Bush,1
"Williams Hale and Summers,",1
"Ltd Carroll",1
"Stevenson, Harding and Woods",1
"Munoz Ltd",1
"Kidd Romero, and Douglas",1
"and Cordova Sons",1
Garcia-Clark,1
"Robinson Group",1
"Hayes Ryan, and Martinez",1
"Glover and Oneill Miller,",1
"Diaz Inc",1
Martin-Nguyen,1
"Roberts Inc",1
"Riley, Grimes Ruiz and",1
"Ltd Rogers",1
"Gomez Inc",1
"PLC Mack",1
Castro-Gomez,1
"Chan, Goodman and Gould",1
"Russell and Randolph, Lawrence",1
Evans-Gonzalez,1
"Miller Sons and",1
Watts-Schneider,1
"Harrell Inc",1
"Reed Valdez and Pratt,",1
"Ali Group",1
Conner-Nelson,1
"and Miller Prince Rodriguez,",1
"Parker Davis Clark, and",1
Mills-Petersen,1
"Smith Anderson and Hunt,",1
Kennedy-Smith,1
"and Moore, Ballard Johnson",1
"Williams Reynolds and Rangel,",1
"Shelton Johnson, and Green",1
"Lopez, and Howard Morrison",1
"Sons and Cortez",1
"Roberts Ltd",1
Sellers-Shepard,1
"Lloyd Scott, and Reese",1
Gibson-Osborne,1
Matthews-Morgan,1
"Scott and Sons",1
Diaz-Richards,1
"LLC Johnson",1
"Murphy Group",1
"Barajas and Byrd, Wolf",1
"Salazar Newman White, and",1
Hancock-Lewis,1
Barrett-Wright,1
Hahn-Wilson,1
"Ramirez and Nelson, Collins",1
Sosa-Jackson,1
Dillon-Richard,1
"Stokes and Sons",1
"Inc Nguyen",1
Gallagher-Hernandez,1
"Johnson David Carpenter, and",1
"and Montes Marshall Valdez,",1
"PLC Kelly",1
Wilson-Sherman,1
"Peterson Group",1
Hall-Taylor,1
"Rios PLC",1
"Lutz, Lester and Kelly",1
"Scott, Moore and Brewer",1
"Sullivan Henderson Lloyd, and",1
"and Rhodes Trujillo, Booth",1
Bailey-White,1
"Bridges Inc",1
"Jackson Carr, Garcia and",1
Richardson-Griffin,1
Allen-Campbell,1
Ferguson-Liu,1
"Lee Ltd",1
Baldwin-Marshall,1
"Norman PLC",1
Boyd-Fisher,1
"Inc Davis",1
"Perry Inc",1
"and Brown Larson Moyer,",1
Soto-Boyle,1
Jones-Ellis,1
"Jenkins, Mathews and Ho",1
"Villa Inc",1
"Castro PLC",1
Ortiz-Martin,1
